,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
117,4710.64102662,3908.46153777,4209.23076917,4050.76923036,4464.87179536,4148.97435877,4162.69230749,4041.92307651,4024.87179439,4357.94871816,4154.23076903,3555.89743444,3825.897435,4428.58974394
118,4719.74359072,3916.15384546,4215.51282045,4054.87179446,4467.94871844,4149.35897415,4166.28205108,4039.23076882,4017.94871747,4361.79487201,4167.05128185,3558.20512675,3821.92307602,4434.48717991
119,4720.38461636,3919.10256341,4216.92307686,4061.28205087,4466.66666716,4151.79487159,4165.89743569,4040.25640984,4016.15384567,4369.35897464,4171.92307679,3559.61538316,3841.92307609,4436.15384657
120,4715.51282149,3926.15384546,4214.74358968,4070.89743555,4472.17948767,4154.61538441,4163.46153826,4029.74358926,4014.74358926,4367.94871823,4172.4358973,3567.17948572,3860.89743507,4438.84615427
121,4718.07692405,3933.33333264,4217.69230763,4076.66666632,4488.71794921,4160.25641005,4161.79487159,4023.46153798,4015.12820465,4364.10256431,4178.97435884,3571.79487034,3850.25640943,4438.84615427
122,4724.48718046,3941.9230763,4225.51282045,4081.15384581,4500.25641082,4163.71794851,4162.56410236,4031.15384567,4021.66666618,4374.87179515,4181.15384602,3577.43589605,3856.92307609,4442.43589786
123,4725.51282149,3955.89743528,4229.61538455,4091.53846119,4513.46153902,4169.2307691,4163.97435877,4037.43589702,4028.71794824,4387.69230797,4179.2307691,3591.02563964,3892.43589668,4453.46153888
124,4722.30769328,3967.69230707,4226.41025634,4098.97435863,4537.17948781,4174.10256397,4165.51282031,4039.99999959,4038.20512779,4391.28205156,4188.46153833,3597.30769092,3897.69230693,4458.58974401
125,4722.94871893,3978.97435842,4223.20512814,4099.35897402,4537.17948781,4169.87179474,4164.23076903,4046.53846113,4051.02564061,4397.8205131,4202.94871788,3591.15384477,3875.76923001,4456.15384657
126,4728.20512925,3999.10256355,4225.12820506,4107.56410229,4511.79487235,4159.87179467,4165.25641005,4051.66666625,4055.12820472,4409.74359009,4205.64102558,3593.46153708,3887.30769155,4462.82051324
127,4737.30769335,4018.07692259,4231.41025634,4128.33333306,4518.97435953,4157.56410236,4166.53846133,4050.76923036,4057.17948677,4415.51282086,4208.20512814,3615.12820381,3925.12820444,4480.38461587
128,4751.92307797,4032.30769183,4241.41025641,4150.38461518,4549.61538524,4165.51282031,4167.05128185,4055.76923036,4071.92307658,4422.43589779,4228.84615378,3634.48717817,3936.92307623,4494.74359023
129,4762.69230881,4046.02564061,4248.33333334,4165.51282031,4558.20512883,4169.61538448,4168.46153833,4061.15384574,4087.56410222,4433.20512863,4248.71794872,3636.66666535,3931.41025572,4498.20512876
130,4769.61538573,4058.7179483,4254.10256411,4179.10256397,4562.69230839,4176.66666653,4168.3333332,4058.46153805,4092.69230735,4445.12820555,4258.71794872,3646.53846029,3946.66666605,4504.35897492
