,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
97,4439.10256452,4453.71794914,4431.2820517,4429.48717984,4397.05128233,4428.46153881,4173.20512807,4441.79487222,4393.07692336,4450.25641068,4409.35897471,4380.25641054,4443.84615427,4404.61538497
98,4441.92307734,4450.25641068,4430.64102599,4431.41025683,4415.51282086,4432.43589786,4172.17948704,4441.92307734,4393.20512849,4447.82051324,4410.38461574,4390.89743618,4457.1794876,4416.15384651
99,4396.41025669,4413.71794907,4390.00000028,4406.15384651,4423.07692343,4398.33333368,4173.84615371,4410.00000035,4358.97435919,4436.79487222,4392.30769259,4369.35897464,4428.46153881,4395.25641054
100,4461.79487222,4481.53846203,4459.61538504,4476.79487229,4461.66666709,4449.23076965,4172.17948704,4453.71794914,4384.87179515,4502.56410312,4463.0769235,4434.23076965,4480.89743639,4451.66666709
101,4464.48717998,4472.56410305,4458.0769235,4453.0769235,4450.25641068,4409.23076958,4172.69230756,4435.76923119,4363.97435919,4482.3076928,4455.38461581,4409.87179522,4458.0769235,4426.53846189
102,4351.15384637,4373.33333362,4355.89743611,4343.20512842,4387.8205131,4290.1282052,4176.79487166,4335.25641047,4278.97435905,4385.00000028,4342.05128226,4288.58974366,4344.23076944,4308.58974373
103,4270.64102571,4304.61538476,4274.87179495,4276.15384623,4282.05128212,4228.58974352,4179.99999986,4257.30769231,4209.10256404,4320.38461553,4257.30769231,4214.10256404,4275.25641033,4239.48717949
104,4207.69230763,4231.28205122,4199.61538448,4208.4615384,4157.3076921,4200.51282038,4180.51282038,4197.30769217,4145.12820492,4244.35897436,4188.58974345,4153.58974339,4218.33333327,4186.28205115
105,4145.38461518,4162.3076921,4141.28205108,4157.94871774,4125.38461511,4170.64102551,4181.15384602,4166.15384595,4110.89743562,4190.76923063,4134.74358947,4101.28205094,4157.17948697,4124.61538434
106,4105.64102537,4115.89743562,4101.92307658,4125.89743562,4128.84615357,4113.9743587,4182.17948704,4126.41025614,4066.28205087,4148.33333313,4099.35897402,4073.97435863,4114.99999973,4086.15384581
107,4139.35897415,4138.205128,4123.9743587,4126.41025614,4117.05128178,4114.99999973,4180.89743576,4133.33333306,4076.66666632,4156.79487159,4117.05128178,4097.69230735,4148.46153826,4126.15384588
108,4089.61538427,4104.8717946,4085.51282017,4071.28205094,4047.82051241,4066.53846113,4182.69230756,4081.15384581,4033.46153798,4106.53846126,4054.35897395,4033.33333285,4097.82051248,4069.35897395
109,4078.07692273,4107.43589716,4081.15384581,4080.25640991,4091.79487145,4059.87179446,4185.25641012,4076.66666632,4028.33333285,4103.20512793,4051.28205087,4028.46153798,4087.43589709,4044.35897395
110,4074.99999966,4090.38461504,4066.15384574,4069.10256369,4110.25640998,4069.23076882,4185.64102551,4069.7435894,4026.92307644,4086.66666632,4058.97435856,4034.23076875,4084.87179453,4046.410256
111,4067.05128164,4088.33333299,4062.05128164,4065.38461497,4076.92307658,4054.35897395,4183.71794858,4069.99999966,4032.05128157,4085.38461504,4057.05128164,4024.87179439,4081.02564068,4053.07692266
112,3987.17948663,4017.1794867,3985.51281996,3997.0512815,3965.76923015,3937.30769162,4186.92307679,3993.97435842,3951.9230763,4013.07692259,3983.07692252,3939.48717887,4003.84615329,3968.07692246
113,3999.87179432,4019.23076875,3988.20512765,4003.20512765,3973.58974304,3967.94871733,4187.4358973,3996.92307637,3948.7179481,4005.76923029,3993.71794817,3954.35897374,4015.51282003,3979.61538406
114,4014.487179,4034.61538413,4005.51282003,4020.64102516,4018.58974311,4036.41025593,4183.46153833,4010.64102516,3963.7179481,4030.25640977,4007.94871747,3983.33333278,4029.74358926,4013.07692259
115,4043.7179483,4067.82051241,4048.7179483,4062.05128164,4061.92307651,4059.6153842,4181.41025628,4040.5128201,3991.53846099,4086.15384581,4041.66666625,4023.33333285,4059.10256369,4046.53846113
116,4081.41025607,4089.23076889,4086.53846119,4092.94871761,4065.12820472,4072.30769196,4182.69230756,4075.38461504,4020.76923029,4116.53846126,4069.99999966,4055.38461497,4093.07692273,4065.89743548
117,4146.28205108,4145.38461518,4145.76923056,4152.17948697,4112.82051255,4149.23076903,4180.76923063,4128.84615357,4077.56410222,4152.94871774,4120.51282024,4109.8717946,4138.84615364,4121.66666639
118,4144.23076903,4179.2307691,4167.3076921,4170.25641012,4152.3076921,4145.12820492,4180.51282038,4153.97435877,4096.66666632,4196.41025628,4143.46153826,4117.56410229,4166.66666646,4132.43589716
119,4186.41025628,4211.15384609,4207.82051275,4202.94871788,4207.17948711,4195.51282038,4179.10256397,4195.76923063,4146.15384595,4220.12820506,4184.74358961,4158.58974339,4214.87179481,4168.97435884
120,4364.61538483,4392.8205131,4383.97435926,4369.48717977,4343.84615406,4306.53846168,4178.84615371,4351.28205149,4292.30769238,4402.17948753,4353.71794893,4312.56410271,4373.84615413,4338.5897438
121,4381.9230772,4423.46153881,4408.33333368,4393.717949,4331.53846168,4384.23076951,4176.66666653,4385.38461567,4330.64102578,4420.00000035,4368.33333362,4334.23076944,4394.10256438,4368.07692336
122,4446.92307734,4471.66666716,4461.02564145,4449.10256452,4439.61538504,4475.76923126,4175.38461525,4446.66666709,4403.46153881,4472.05128254,4436.2820517,4401.79487215,4459.35897478,4430.89743632
123,4461.79487222,4487.56410305,4471.53846203,4471.4102569,4460.51282093,4475.89743639,4178.20512807,4465.25641075,4419.23076958,4493.84615434,4452.94871837,4418.58974394,4485.89743639,4444.61538504
124,4477.43589793,4513.58974415,4489.61538511,4492.82051331,4464.87179536,4487.94871844,4180.76923063,4497.56410312,4448.46153888,4513.97435953,4464.87179536,4439.35897478,4506.92307748,4467.43589793
